Name,Alternate names,IATA,ICAO,Use,Subordinate,Coordinates,Latitude,Longitude,Runways,Tenants,Type
Jinjiang Air Base,Quanzhou Jinjiang International Airport,JJN,ZSQZ,Dual,STCAF,24.79722N 118.58917E,24.79722,118.58917,"03/21: 2,600 m",,Air Base
Kaifeng Air Base,N/A,N/A,CN-0095,Military,CTCAF,34.75333N 114.33778E,34.75333,114.33778,"03/21: 2,462 m",,Air Base
Kashi Air Base,Kashgar Airport,KHG,ZWSH,Dual,WTCAF,39.54250N 76.02000E,39.5425,76.02,"08/26: 3,200 m",,Air Base
Korla Air Base,Korla Licheng Airport,KRL,ZWKL,Dual,WTCAF,41.61500N 86.14167E,41.615,86.14167,"04/22: 2,780 m",,Air Base
Langtou Air Base,Dandong Langtou Airport,DDG,ZYDD,Dual,NTCAF,40.02556N 124.28694E,40.02556,124.28694,"01/19: 2,600 m",,Air Base
Lantian Air Base,Luzhou Lantian Airport,LZO,ZULZ,Military,WTCAF,28.85250N 105.39250E,28.8525,105.3925,"07/25: 2,400 m",,Air Base
Li Chia Tsun Air Base,Guilin Qifengling Airport,KWL,ZGKL,Military,STCAF,25.19389N 110.32028E,25.19389,110.32028,"18/36: 2,300 m",,Air Base
Liancheng Air Base,Longyan Guanzhaishan Airport,LCX,ZSLD,Dual,ETCAF,25.67639N 116.74611E,25.67639,116.74611,"03/21: 2,400 m",,Air Base
Liangping Air Base,Liangping Airport,LIA,ZULP,Military,WTCAF,30.67944N 107.78611E,30.67944,107.78611,"05/23: 2,300 m",,Air Base
Lintong Air Base,Xi'an Xiguan Airport,SIA,ZLSN,Military,CTCAF,34.37611N 109.11917E,34.37611,109.11917,"05/23: 2,800 m",,Air Base
Lishe Air Base,Ningbo Lishe International Airport,NGB,ZSNB,Dual,ETCAF,29.82639N 121.46250E,29.82639,121.4625,"13/31: 3,000 m",,Air Base
Luhe-Ma'an Air Base,"Liuhe Air Base, Nanjing Luhe Airport, Nanjing Air Base",N/A,CN-0224,Military,NTCAF,32.37778N 118.79417E,32.37778,118.79417,"05/23: 2,600 m",,Air Base
Luliang Air Base,N/A,N/A,CN-0041,Military,STCAF,24.98806N 103.64278E,24.98806,103.64278,"02/20: 2,651 m",,Air Base
Luqiao Air Base,Taizhou Luqiao Airport,HYN,ZSLQ,Dual,ETCAF,28340N 121260E,28340, 121260,"03/21: 2,500 m",,Air Base
Mahuiling Air Base,Jiujiang Lushan Airport,JIU,ZSJJ,Military,ETCAF,29.47694N 115.80167E,29.47694,115.80167,"04/22: 2,800 m",,Air Base
Malan Air Base,N/A,N/A,N/A,Military,WTCAF,42.18N 87.18E,42.18,87.18,,,Air Base
Mangshi Air Base,Dehong Mangshi Airport,LUM,ZPMS,Military,STCAF,24.4N 98.533333E,24.4,98.533333,"05/23: 2,200 m",,Air Base
Meixian Air Base,"Mei-Xian Air Base, Meizhou Meixian Changgangi International Airport",MXZ,ZGMX,Dual,STCAF,24.26500N 116.10000E,24.265,116.1,"04/22: 2,400 m",,Air Base
Mengzi Air Base,Honghe Mengzi Airport,N/A,N/A,Dual,STCAF,23.39444N 103.33444E,23.39444,103.33444,"14/32: 2,500 m",,Air Base
Nanyuan Air Base,Beijing Nanyuan Airport,NAY,ZBNY,Dual,PLAAF HQ,39.78083N 116.38639E,39.78083,116.38639,"18/36: 3,200 m",,Air Base
Ngari Gunsa Air Base,"Ngari Gunsa Airport, Shiquanhe Airport, Ali Kunsha Airport",NGQ,ZUAL,Dual,WTCAF,32.10417N 80.05417E,32.10417,80.05417,"15/33: 4,500 m",,Air Base
